path,actor,emotion,split
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-01-01.wav,1,neutral,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-02-01.wav,1,neutral,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-01-01.wav,1,neutral,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-02-01.wav,1,neutral,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-01-01.wav,1,happy,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-02-01.wav,1,happy,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-01-01.wav,1,happy,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-02-01.wav,1,happy,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-01-01.wav,1,happy,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-02-01.wav,1,happy,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-01-01.wav,1,happy,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-02-01.wav,1,happy,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-01-01.wav,1,sad,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-02-01.wav,1,sad,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-01-01.wav,1,sad,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-02-01.wav,1,sad,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-01-01.wav,1,sad,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-02-01.wav,1,sad,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-01-01.wav,1,sad,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-02-01.wav,1,sad,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-01-01.wav,1,angry,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-02-01.wav,1,angry,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-01-01.wav,1,angry,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-02-01.wav,1,angry,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-01-01.wav,1,angry,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-02-01.wav,1,angry,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-01-01.wav,1,angry,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-02-01.wav,1,angry,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-01-01.wav,1,fearful,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-02-01.wav,1,fearful,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-01-01.wav,1,fearful,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-02-01.wav,1,fearful,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-01-01.wav,1,fearful,train
C:\Users\maaaa\Desktop\Project_fasih_fiverr\emotion_try\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-02-01.wav,1,fearful,train
